institution_name,conference,subdivision,has_football,sport,conference_fin,subdivision_fin,has_football_fin,men_participants,women_participants,revenue_men,revenue_women,expense_men,expense_women,wins,losses,ties,cohort_year,gsr,fgr,nil100_player_count,nil100_sum_valuation_estimate,aid_share_of_revenue,revenue_total,expense_total
North Carolina State University at Raleigh,ACC,P5,1,football,ACC,P5,1.0,125.0,,69756644.0,,40535367.0,,8.0,5.0,0.0,2018.0,84.0,55.0,1.0,2000000.0,0.089868807525319,69756644.0,40535367.0
North Carolina State University at Raleigh,ACC,P5,1,basketball,ACC,P5,1.0,15.0,13.0,18993591.0,1558266.0,11858910.0,6202637.0,20.0,14.0,0.0,2018.0,75.0,18.0,0.0,0.0,0.089868807525319,20551857.0,18061547.0
North Carolina State University at Raleigh,ACC,P5,1,volleyball,ACC,P5,1.0,,18.0,,929645.0,,1763173.0,,,0.0,2018.0,100.0,80.0,0.0,0.0,0.089868807525319,929645.0,1763173.0
University of Pittsburgh-Pittsburgh Campus,ACC,P5,1,football,ACC,P5,1.0,118.0,,57222645.0,,47141722.0,,8.0,5.0,0.0,2018.0,90.0,66.0,1.0,3000000.0,0.132898977894539,57222645.0,47141722.0
University of Pittsburgh-Pittsburgh Campus,ACC,P5,1,basketball,ACC,P5,1.0,16.0,24.0,13874103.0,5131830.0,11437769.0,5131830.0,13.0,20.0,0.0,2018.0,88.0,8.0,0.0,0.0,0.132898977894539,19005933.0,16569599.0
University of Pittsburgh-Pittsburgh Campus,ACC,P5,1,volleyball,ACC,P5,1.0,,16.0,,3363298.0,,3363298.0,30.0,5.0,0.0,2018.0,100.0,82.0,0.0,0.0,0.132898977894539,3363298.0,3363298.0
Southern Methodist University,ACC,P5,1,football,ACC,P5,1.0,122.0,,45315587.0,,45315587.0,,9.0,4.0,0.0,2018.0,87.0,76.0,2.0,4000000.0,0.1737907911697944,45315587.0,45315587.0
Southern Methodist University,ACC,P5,1,basketball,ACC,P5,1.0,16.0,13.0,16735281.0,7327986.0,16735281.0,7327986.0,20.0,14.0,0.0,2018.0,77.0,38.0,1.0,500000.0,0.1737907911697944,24063267.0,24063267.0
Southern Methodist University,ACC,P5,1,volleyball,ACC,P5,1.0,,14.0,,3585674.0,,3585674.0,27.0,6.0,0.0,2018.0,92.0,64.0,0.0,0.0,0.1737907911697944,3585674.0,3585674.0
Stanford University,ACC,P5,1,football,ACC,P5,1.0,110.0,,35992019.0,,35992019.0,,4.0,8.0,0.0,2018.0,90.0,83.0,0.0,0.0,0.2059158364899343,35992019.0,35992019.0
Stanford University,ACC,P5,1,basketball,ACC,P5,1.0,16.0,24.0,10765368.0,7887092.0,10765368.0,7887092.0,20.0,13.0,0.0,2018.0,100.0,86.0,0.0,0.0,0.2059158364899343,18652460.0,18652460.0
Stanford University,ACC,P5,1,volleyball,ACC,P5,1.0,16.0,15.0,1222045.0,3706537.0,1222045.0,3706537.0,29.0,5.0,0.0,2018.0,100.0,100.0,0.0,0.0,0.2059158364899343,4928582.0,4928582.0
Syracuse University,ACC,P5,1,football,ACC,P5,1.0,124.0,,64585287.0,,42090055.0,,3.0,9.0,0.0,2018.0,77.0,64.0,1.0,1000000.0,0.1940191908359753,64585287.0,42090055.0
Syracuse University,ACC,P5,1,basketball,ACC,P5,1.0,17.0,13.0,31587705.0,1968506.0,15936295.0,5994083.0,15.0,17.0,0.0,2018.0,57.0,23.0,0.0,0.0,0.1940191908359753,33556211.0,21930378.0
Syracuse University,ACC,P5,1,volleyball,ACC,P5,1.0,,19.0,,1032461.0,,1969072.0,13.0,17.0,0.0,2018.0,100.0,90.0,0.0,0.0,0.1940191908359753,1032461.0,1969072.0
Virginia Polytechnic Institute and State University,ACC,P5,1,football,ACC,P5,1.0,124.0,,79735756.0,,37803976.0,,3.0,9.0,0.0,2018.0,85.0,57.0,1.0,2000000.0,0.1375330703989527,79735756.0,37803976.0
